f_sample_id	f_type_value	f_type_count	f_type	f_index
sample_id_1	unknown	36721	drug	1
sample_id_1	unknown	36721	sex	1
sample_id_1	unknown	36721	time	1
sample_id_2	unknown	28774	drug	2
sample_id_2	unknown	28774	sex	2
sample_id_2	unknown	28774	time	2
sample_id_3	unknown	32457	drug	3
sample_id_3	unknown	32457	sex	3
sample_id_3	unknown	32457	time	3
sample_id_4	unknown	66303	drug	4
sample_id_4	unknown	66303	sex	4
sample_id_4	unknown	66303	time	4
sample_id_5	unknown	50658	drug	5
sample_id_5	female	39396	sex	5
sample_id_5	male	11262	sex	5
sample_id_5	110 days	9413	time	5
sample_id_5	113 days	21186	time	5
sample_id_5	120 days	11262	time	5
sample_id_5	122 days	8797	time	5
sample_id_6	unknown	1200	drug	6
sample_id_6	female	1200	sex	6
sample_id_6	108 days	1200	time	6
sample_id_7	unknown	20855	drug	7
sample_id_7	female	12957	sex	7
sample_id_7	male	7898	sex	7
sample_id_7	110 days	7530	time	7
sample_id_7	115 days	13325	time	7
sample_id_8	unknown	7812	drug	8
sample_id_8	female	7266	sex	8
sample_id_8	male	546	sex	8
sample_id_8	122 days	546	time	8
sample_id_8	91 days	1166	time	8
sample_id_8	94 days	6100	time	8
sample_id_9	unknown	57029	drug	9
sample_id_9	female	736	sex	9
sample_id_9	male	56293	sex	9
sample_id_9	110 days	12297	time	9
sample_id_9	115 days	14336	time	9
sample_id_9	120 days	10114	time	9
sample_id_9	122 days	19546	time	9
sample_id_9	94 days	736	time	9
sample_id_10	unknown	30251	drug	10
sample_id_10	female	15569	sex	10
sample_id_10	male	14682	sex	10
sample_id_10	113 days	4065	time	10
sample_id_10	125 days	14682	time	10
sample_id_10	94 days	11504	time	10
sample_id_11	unknown	58117	drug	11
sample_id_11	female	46707	sex	11
sample_id_11	male	11410	sex	11
sample_id_11	113 days	17140	time	11
sample_id_11	115 days	11391	time	11
sample_id_11	120 days	11221	time	11
sample_id_11	122 days	11385	time	11
sample_id_11	125 days	189	time	11
sample_id_11	94 days	6791	time	11
sample_id_12	unknown	99834	drug	12
sample_id_12	female	29896	sex	12
sample_id_12	male	69938	sex	12
sample_id_12	110 days	10948	time	12
sample_id_12	115 days	42276	time	12
sample_id_12	120 days	25169	time	12
sample_id_12	122 days	8200	time	12
sample_id_12	94 days	13241	time	12
sample_id_13	unknown	52932	drug	13
sample_id_13	female	23952	sex	13
sample_id_13	male	28980	sex	13
sample_id_13	110 days	7395	time	13
sample_id_13	113 days	8742	time	13
sample_id_13	115 days	3714	time	13
sample_id_13	120 days	21585	time	13
sample_id_13	94 days	11496	time	13
sample_id_14	unknown	22254	drug	14
sample_id_14	male	22254	sex	14
sample_id_14	120 days	13793	time	14
sample_id_14	125 days	8461	time	14
sample_id_15	unknown	2725	drug	15
sample_id_15	female	2725	sex	15
sample_id_15	105 days	2725	time	15
sample_id_16	unknown	33006	drug	16
sample_id_16	female	17725	sex	16
sample_id_16	male	15281	sex	16
sample_id_16	110 days	10126	time	16
sample_id_16	113 days	8335	time	16
sample_id_16	115 days	6666	time	16
sample_id_16	122 days	7879	time	16
sample_id_17	unknown	2621	drug	17
sample_id_17	female	1638	sex	17
sample_id_17	male	983	sex	17
sample_id_17	102 days	1638	time	17
sample_id_17	91 days	983	time	17
sample_id_18	unknown	17551	drug	18
