f_sample_id	f_gse_id	f_genome	f_geo_id	f_label	f_pmid	f_species	f_tissue_type	f_sequencing_type	f_health_type	f_health_type_description	f_description	f_source	f_source_url	f_counts_layer	f_sample_exist	f_cell_count	f_cell_type_count	f_index	f_sample_name
sample_id_1	GSE129785	hg19	GSM3722050,GSM3722051,GSM3722053,GSM3722056,GSM3722058,GSM3722069,GSM3722070,GSM3722071	GSE129785_TME-All	31375813	Human	Skin	scATAC-seq	Disease	Basal cell carcinoma (BCC)	Understanding complex tissues requires single-cell deconstruction of gene regulation with precision and scale. Here we present a massively parallel droplet-based platform for mapping transposase-accessible chromatin in tens of thousands of single cells per sample (scATAC-seq). We obtain and analyze chromatin profiles of over 200,000 single cells in two primary human systems. In blood, scATAC-seq allows marker-free identification of cell type-specific cis- and trans-regulatory elements, mapping of disease-associated enhancer activity, and reconstruction of trajectories of differentiation from progenitors to diverse and rare immune cell types. In basal cell carcinoma, scATAC-seq reveals regulatory landscapes of malignant, stromal, and immune cell types in the tumor microenvironment. Moreover, scATAC-seq of serial tumor biopsies before and after PD-1 blockade allows identification of chromatin regulators and differentiation trajectories of therapy-responsive intratumoral T cell subsets, revealing a shared regulatory program driving CD8+ T cell exhaustion and CD4+ T follicular helper cell development in association with clinical response. We anticipate that droplet-based single-cell chromatin accessibility will provide a broadly applicable means of identifying regulatory factors and elements that underlie cell type and function.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE129785_TME_All	data	0	36721	20	0	Basal cell carcinoma (BCC)_skin
sample_id_2	GSE139369	hg19	GSM4138888,GSM4138889,GSM4138893,GSM4138894,GSM4138895,GSM4138896,GSM4138897	GSE139369	31792411,37597510	Human	PBMC	scATAC-seq	Normal	Healthy blood development	We present a single-cell framework that integrates highly multiplexed protein quantification, transcriptome profiling, and chromatin accessibility analysis. Using this approach, we establish a normal epigenetic baseline for healthy blood development, which we then use to deconvolve aberrant molecular features within blood from mixed-phenotype acute leukemia (MPAL) patients.	GreenleafLab	https://github.com/GreenleafLab/MPAL-Single-Cell-2019	counts	0	28774	26	1	Healthy blood PBMC_1
sample_id_3	GSE139369	hg19	GSM4138888,GSM4138889,GSM4138890,GSM4138891,GSM4138892,GSM4138893,GSM4138894,GSM4138895,GSM4138896,GSM4138897	GSE139369_Healthy	31792411,37597510	Human	PBMC	scATAC-seq	Normal	Healthy blood development	We present a single-cell framework that integrates highly multiplexed protein quantification, transcriptome profiling, and chromatin accessibility analysis. Using this approach, we establish a normal epigenetic baseline for healthy blood development, which we then use to deconvolve aberrant molecular features within blood from mixed-phenotype acute leukemia (MPAL) patients.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE139369_Healthy	counts	0	32457	26	2	Healthy blood PBMC_2
sample_id_4	GSE139369	hg19	GSM4138888,GSM4138889,GSM4138890,GSM4138891,GSM4138892,GSM4138893,GSM4138894,GSM4138895,GSM4138896,GSM4138897,GSM4138898,GSM4138899,GSM4138900,GSM4138901,GSM4138902,GSM4138903,GSM4138904,GSM4138905,GSM4138906,GSM4138907,GSM4138908,GSM4138909	GSE139369_MPAL_Healthy	31792411,37597510	Human	PBMC	scATAC-seq	Disease	Mixed-phenotype acute leukemia (MPAL)	We present a single-cell framework that integrates highly multiplexed protein quantification, transcriptome profiling, and chromatin accessibility analysis. Using this approach, we establish a normal epigenetic baseline for healthy blood development, which we then use to deconvolve aberrant molecular features within blood from mixed-phenotype acute leukemia (MPAL) patients.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE139369_MPAL_Healthy	data	0	66303	31	3	Mixed-phenotype acute leukemia(MPAL)
sample_id_5	GSE149683	hg19	GSM4508928	GSE149683_Adrenal	33184180	Human	Adrenal gland	sci-ATAC-seq3	Normal	Adrenal gland (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Adrenal	counts	0	50658	9	4	Adrenal gland_Fetal period
sample_id_6	GSE149683	hg19	GSM4508929	GSE149683_Cerebellum	33184180	Human	Cerebellum	sci-ATAC-seq3	Normal	Cerebellum (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Cerebellum	counts	0	1200	4	5	Cerebellum_Fetal period
sample_id_7	GSE149683	hg19	GSM4508930	GSE149683_Cerebrum	33184180	Human	Cerebrum	sci-ATAC-seq3	Normal	Cerebrum (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Cerebrum	counts	0	20855	8	6	Cerebrum_Fetal period
sample_id_8	GSE149683	hg19	GSM4508931	GSE149683_Eye	33184180	Human	Eye	sci-ATAC-seq3	Normal	Eye (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Eye	counts	0	7812	8	7	Eye_Fetal period
sample_id_9	GSE149683	hg19	GSM4508932	GSE149683_Heart	33184180	Human	Heart	sci-ATAC-seq3	Normal	Heart (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Heart	counts	0	57029	14	8	Heart_Fetal period
sample_id_10	GSE149683	hg19	GSM4508933	GSE149683_Intestine	33184180	Human	Intestine	sci-ATAC-seq3	Normal	Intestine (estimated gestational age 89-125d)	We devised an improved assay for single cell profiling of chromatin accessibility with three-level combinatorial indexing (sci-ATAC-seq3). We applied this method to 53 fetal tissue samples representing 15 organs, altogether profiling approximately one million single cells. We leveraged cell types defined by gene expression in the same organs to annotate these data, and built a catalog of hundreds-of-thousands of candidate gene regulatory elements exhibiting cell type-specific accessibility. Our analyses focus on the properties of lineage-specific transcription factors, organ-specific specializations of broadly distributed cell types, and cell type-specific enrichments of complex trait heritability. Additional data formats are available at atlas.brotmanbaty.org.	scATAC-Ref	https://bio.liclab.net/scATAC-Ref/browseDetail?sample=GSE149683_Intestine	counts	0	30251	13	9	Intestine_Fetal period
