trait_abbr	trait_code	index	trait	ICD10	file_name
AD	BBJ_AD_1	1	Atopic dermatitis	L20	hum0197.v5.finemap.AD.v1
AFib	BBJ_AFib_2	2	Atrial fibrillation	I48	hum0197.v5.finemap.AF.v1
AG	BBJ_AG_3	3	Albumin/Globulin ratio	-	hum0197.v5.finemap.AG.v1
AID	BBJ_AID_4	4	Autoimmune disease	M35	hum0197.v5.finemap.AID.v1
ALP	BBJ_ALP_5	5	Alkaline phosphatase	-	hum0197.v5.finemap.ALP.v1
ALT	BBJ_ALT_6	6	Alanine aminotransferase	-	hum0197.v5.finemap.ALT.v2
AST	BBJ_AST_7	7	Aspartate aminotransferase	-	hum0197.v5.finemap.AST.v2
Age_at_Menarche	BBJ_Age_at_Menarche_8	8	Age at menarche	-	hum0197.v5.finemap.Men.v1
Age_at_Menopause	BBJ_Age_at_Menopause_9	9	Age at menopause	-	hum0197.v5.finemap.MP.v1
Alb	BBJ_Alb_10	10	Albumin	-	hum0197.v5.finemap.Alb.v1
Asthma	BBJ_Asthma_11	11	Asthma	J45	hum0197.v5.finemap.As.v1
BMI	BBJ_BMI_12	12	Body mass index	-	hum0197.v5.finemap.BMI.v1
BUN	BBJ_BUN_13	13	Blood urea nitrogen	-	hum0197.v5.finemap.BUN.v1
BW	BBJ_BW_14	14	Body weight	-	hum0197.v5.finemap.BW.v1
Baso	BBJ_Baso_15	15	Basophil	-	hum0197.v5.finemap.BAS.v1
BrC	BBJ_BrC_16	16	Breast cancer	C50	hum0197.v5.finemap.BC.v1
CAD	BBJ_CAD_17	17	Coronary artery disease	I200、I209、I219 	hum0197.v5.finemap.CAD.v1
COPD	BBJ_COPD_18	18	Chronic obstructive pulmonary disease	J44	hum0197.v5.finemap.COPD.v1
CRC	BBJ_CRC_19	19	Colorectal cancer	C18	hum0197.v5.finemap.CC.v1
CRP	BBJ_CRP_20	20	C-reactive protein	-	hum0197.v5.finemap.CRP.v1
Ca	BBJ_Ca_21	21	Calcium	-	hum0197.v5.finemap.Ca.v1
Cataract	BBJ_Cataract_22	22	Cataract	H25/H26	hum0197.v5.finemap.Cat.v1
CeAn	BBJ_CeAn_23	23	Cerebral aneurysm	I67.1	hum0197.v5.finemap.CeAn.v1
Cholelithiasis	BBJ_Cholelithiasis_24	24	Cholelithiasis	K80	hum0197.v5.finemap.CL.v1
Cirrhosis	BBJ_Cirrhosis_25	25	Cirrhosis	K74.6	hum0197.v5.finemap.Cir.v1
DBP	BBJ_DBP_26	26	Diastolic blood pressure	-	hum0197.v5.finemap.DBP.v1
