meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note
PE02240	Operative procedures - main OPCS4: H46.3 Intubation of rectum for pressure manometry	Surgical Procedures, Operative	D013514	420531	838.0	419693.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-H463.tsv.bgz	
GD01528	CD3 on Effector Memory CD8+ T cell	Chemokines	D018925	2912			EUR	Orrù V	32929287	2020	2	16490536	82	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001839	
FG03845	Job SOC coding: Motor mechanics, auto engineers	Job Description	D007587	113841	980.0	112861.0	UKB	Longda Jiang	34737426	2021	1	11842973	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_5231.v1.0.fastGWA.gz	
DB464	Plasma Apolipoprotein A-I level (GEE, multivariate adjusted)	Apolipoproteins	D001053	997			EUR	Kathiresan S	17903299	2007	3	103386	5	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=468	
MR26986	Diagnoses - main ICD10: L82 Seborrhoeic keratosis	Diagnosis	D003933	463010	1957.0	461053.0	UKB	Ben Elsworth	IEU-UKB	2018	1	3125356	15	https://gwas.mrcieu.ac.uk/files/ukb-b-501/ukb-b-501.vcf.gz	
DB716	Cardiovascular disease (MI, CI, CHD death or ABI, GEE, adjusted for multivariable)	Cardiovascular Diseases	D002318	1345	142.0	1203.0	EUR	Larson MG	17903304	2007	4	104180	5	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1360	
MR21565	PCT where patients GP was registered: GATESHEAD PCT	Thrombasthenia	D013915	463010	4440.0	458570.0	UKB	Ben Elsworth	IEU-UKB	2018	2	4692485	7	https://gwas.mrcieu.ac.uk/files/ukb-b-354/ukb-b-354.vcf.gz	
PE04638	D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites	Fever of Unknown Origin	D005335	420531	871.0	419660.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-D48-both_sexes.tsv.bgz	
GA595	Depression - Did your sleep change?	Depression	D003863	61487	48926.0	12561.0	UKB	CTGLAB	31427789	2019	1	9073644	1	https://atlas.ctglab.nl/	
FG05013	Treatment/medication code: zumenon 1mg tablet	Estrogen Replacement Therapy	D015914	247508	148.0	247360.0	UKB	Longda Jiang	34737426	2021	1	11842706	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140928878.v1.0.fastGWA.gz	
FG01212	Mean L3 in tapetum on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	3	8492974	23	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25342.v1.1.fastGWA.gz	
GA304	Cereal type: Biscuit cereal (e.g. Weetabix)	Edible Grain	D002523	319477	56049.0	263428.0	UKB	CTGLAB	31427789	2019	1	10415062	5	https://atlas.ctglab.nl/	
MR33290	Portion size	Portion Size	D064787	64949			UKB	Ben Elsworth	IEU-UKB	2018	1	8583399	3	https://gwas.mrcieu.ac.uk/files/ukb-b-5811/ukb-b-5811.vcf.gz	
GD01739	CD4 regulatory T cell %CD4+ T cell	T-Lymphocytes, Regulatory	D050378	3437			EUR	Orrù V	32929287	2020	1	16874023	62	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001478	
LD087	Acetoacetate	Acetoacetates	D000090	19262			EUR	Kettunen	27005778	2016	3	11808715	5	http://www.computationalmedicine.fi/data#NMR_GWAS	
DB644	Triglyceride / High-density lipoprotein cholesterol ratio (at exam 7, GEE, adjusted for age and sex)	Cholesterol	D002784	1060			EUR	Kathiresan S	17903299	2007	1	103513	1	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=680	
AT407	N64 Other disorders of breast	Breast Diseases	D001941	245494	1321.0	450943.0	UKB	Roslin Institute	30349118	2018	3	9124361	3	http://geneatlas.roslin.ed.ac.uk/	
FG01018	Mean MD in superior fronto-occipital fasciculus on FA skeleton (right)	Superior Sagittal Sinus	D054063	12101			UKB	Longda Jiang	31768069	2019	1	8492980	6	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25146.v1.1.fastGWA.gz	
PA00478	Type 2 diabetes	Diabetes Mellitus, Type 2	D003924	8845	1664.0	7181.0	UKB	Pan-UKB team	Pan-UKB	2022	1	15969169	35	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz	
FG02274	Fracture of hand or wrist	Fracture Healing	D017102	456348	3030.0	453318.0	UKB	Longda Jiang	34737426	2021	2	11842560	52	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/804_PheCode.v1.0.fastGWA.gz	
FG01524	Weighted-mean ICVF in tract parahippocampal part of cingulum (right)	Parahippocampal Gyrus	D020534	12098			UKB	Longda Jiang	31768069	2019	3	8493089	161	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25657.v1.1.fastGWA.gz	
PE01426	Thickness of butter/margarine spread on other bread: medium	Margarine	D008383	58890	530.0	58360.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23734928	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20104-both_sexes-2.tsv.bgz	
FG01151	Mean L2 in external capsule on FA skeleton (right)	External Capsule	D066271	12101			UKB	Longda Jiang	31768069	2019	2	8492965	271	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25280.v1.1.fastGWA.gz	
PE06663	Other congenital anomalies of lower limb, including pelvic girdle	Pelvic Girdle Pain	D059388	419357	187.0	419170.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861553	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-755.6-both_sexes.tsv.bgz	
PE06459	Excessive vomiting in pregnancy	Vomiting	D014839	227501	240.0	227261.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23859568	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-643-females.tsv.bgz	
FG01460	Weighted-mean L1 in tract superior thalamic radiation (left)	Apolipoprotein L1	D000075944	12099			UKB	Longda Jiang	31768069	2019	1	8493124	13	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25592.v1.1.fastGWA.gz	
