meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note	index	trait_abbr	trait_code
PE02240	Operative procedures - main OPCS4: H46.3 Intubation of rectum for pressure manometry	Surgical Procedures, Operative	D013514	420531	838.0	419693.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-H463.tsv.bgz		1	OPMOHIORFPM_PE02240	CAUSALdb_OPMOHIORFPM_PE02240_1
GD01528	CD3 on Effector Memory CD8+ T cell	Chemokines	D018925	2912			EUR	Orrù V	32929287	2020	2	16490536	82	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001839		2	COEMCTC_GD01528	CAUSALdb_COEMCTC_GD01528_2
FG03845	Job SOC coding: Motor mechanics, auto engineers	Job Description	D007587	113841	980.0	112861.0	UKB	Longda Jiang	34737426	2021	1	11842973	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_5231.v1.0.fastGWA.gz		3	JSCMMAE_FG03845	CAUSALdb_JSCMMAE_FG03845_3
DB464	Plasma Apolipoprotein A-I level (GEE, multivariate adjusted)	Apolipoproteins	D001053	997			EUR	Kathiresan S	17903299	2007	3	103386	5	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=468		4	PAAILGMA_DB464	CAUSALdb_PAAILGMA_DB464_4
MR26986	Diagnoses - main ICD10: L82 Seborrhoeic keratosis	Diagnosis	D003933	463010	1957.0	461053.0	UKB	Ben Elsworth	IEU-UKB	2018	1	3125356	15	https://gwas.mrcieu.ac.uk/files/ukb-b-501/ukb-b-501.vcf.gz		5	DMILSK_MR26986	CAUSALdb_DMILSK_MR26986_5
DB716	Cardiovascular disease (MI, CI, CHD death or ABI, GEE, adjusted for multivariable)	Cardiovascular Diseases	D002318	1345	142.0	1203.0	EUR	Larson MG	17903304	2007	4	104180	5	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1360		6	CDMCCDOAGAFM_DB716	CAUSALdb_CDMCCDOAGAFM_DB716_6
MR21565	PCT where patients GP was registered: GATESHEAD PCT	Thrombasthenia	D013915	463010	4440.0	458570.0	UKB	Ben Elsworth	IEU-UKB	2018	2	4692485	7	https://gwas.mrcieu.ac.uk/files/ukb-b-354/ukb-b-354.vcf.gz		7	PWPGWRGP_MR21565	CAUSALdb_PWPGWRGP_MR21565_7
PE04638	D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites	Fever of Unknown Origin	D005335	420531	871.0	419660.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-D48-both_sexes.tsv.bgz		8	DNOUOUBOOAUS_PE04638	CAUSALdb_DNOUOUBOOAUS_PE04638_8
GA595	Depression - Did your sleep change?	Depression	D003863	61487	48926.0	12561.0	UKB	CTGLAB	31427789	2019	1	9073644	1	https://atlas.ctglab.nl/		9	DDYSC_GA595	CAUSALdb_DDYSC_GA595_9
FG05013	Treatment/medication code: zumenon 1mg tablet	Estrogen Replacement Therapy	D015914	247508	148.0	247360.0	UKB	Longda Jiang	34737426	2021	1	11842706	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140928878.v1.0.fastGWA.gz		10	TMCZMT_FG05013	CAUSALdb_TMCZMT_FG05013_10
