phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Height, inverse-rank normalized	HEIGHT_IRN	Quantitative endpoints	323648	292707	0	1554	1448	1.7939
Weight, inverse-rank normalized	WEIGHT_IRN	Quantitative endpoints	328704	297440	0	741	629	1.6042
Body-mass index, inverse-rank normalized	BMI_IRN	Quantitative endpoints	321672	290820	0	632	539	1.556
Hypertension	I9_HYPTENS	IX Diseases of the circulatory system (I9_)	137312	122996	316345	360	314	1.3519
Type 2 diabetes, definitions combined	T2D	Diabetes endpoints	71728	65085	369007	315	278	1.3501
Antihypertensive medication - note that there are other indications	RX_ANTIHYP	Drug purchase endpoints	240395	222561	213338	313	265	1.3354
Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	KELA_DIAB_INSUL_EXMORE	Diabetes endpoints	68356	62368	368997	295	241	1.3329
Hypertension, essential	I9_HYPTENSESS	IX Diseases of the circulatory system (I9_)	116714	102864	316345	288	250	1.3231
Statin medication	RX_STATIN	IX Diseases of the circulatory system (I9_)	155745	144675	297988	266	236	1.2878
Hypothyroidism, strict autoimmune	E4_HYTHY_AI_STRICT	IV Endocrine, nutritional and metabolic diseases (E4_)	49055	45321	329775	238	217	1.2054
Type 2 diabetes, wide definition	T2D_WIDE	Diabetes endpoints	49101	42593	370829	231	186	1.2872
Varicose veins	I9_VARICVE	IX Diseases of the circulatory system (I9_)	34542	31719	392860	220	185	1.2227
Autoimmune diseases	AUTOIMMUNE	Diseases marked as autimmune origin	115447	105677	338286	188	171	1.1898
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	IX Diseases of the circulatory system (I9_)	60873	55070	392860	181	166	1.2112
Disorders of the thyroid gland	E4_THYROID	IV Endocrine, nutritional and metabolic diseases (E4_)	68103	62464	385630	167	145	1.1679
Atrial fibrillation and flutter	I9_AF	IX Diseases of the circulatory system (I9_)	55853	50743	231952	151	129	1.1861
Coronary revascularization (ANGIO or CABG)	I9_REVASC	IX Diseases of the circulatory system (I9_)	26345	24661	378019	142	119	1.1885
Leiomyoma of uterus	CD2_BENIGN_LEIOMYOMA_UTERI	II Neoplasms from hospital discharges (CD2_)	37952	34422	216666	128	119	1.1401
Malignant neoplasm of prostate (controls excluding all cancers)	C3_PROSTATE_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	17258	15199	143624	127	114	1.1276
Atrial fibrillation and flutter with reimbursement	I9_AF_REIMB	IX Diseases of the circulatory system (I9_)	32849	30786	231952	126	110	1.1892
Ischaemic heart disease, wide definition	I9_IHD	IX Diseases of the circulatory system (I9_)	75592	69008	378141	118	102	1.2012
Basal cell carcinoma (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23424	20506	345118	118	102	1.1319
Arthrosis	M13_ARTHROSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	90094	80598	287796	116	94	1.258
Basal cell carcinoma, including avohilmo (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23936	21089	344784	116	97	1.138
Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	Cardiometabolic endpoints	221781	201529	231952	115	101	1.2062
Coronary atherosclerosis	I9_CORATHER	IX Diseases of the circulatory system (I9_)	56685	51589	378019	114	97	1.2065
Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	X Diseases of the respiratory system (J10_)	52013	48084	372627	112	97	1.2038
Malignant neoplasm of skin (controls excluding all cancers)	C3_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	27435	22271	345118	108	91	1.1232
Cholelithiasis	K11_CHOLELITH	XI Diseases of the digestive system (K11_)	44582	40191	397583	107	97	1.1708
Gonarthrosis	M13_ARTHROSIS_KNEE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	54570	48836	287796	105	86	1.2549
Other malignant neoplasms of skin (=non-melanoma skin cancer) (controls excluding all cancers)	C3_OTHER_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23503	19077	345118	103	92	1.1239
