trait_abbr	trait_code	index	trait	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
AB1_BACTINF_NOS	FinnGen_AB1_BACTINF_NOS_1	1	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	22704	20226.0	399149	3	2.0	1.0324	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_BACTINF_NOS.FINEMAP.snp.bgz
AB1_CHLAMYDIA_OTHER	FinnGen_AB1_CHLAMYDIA_OTHER_2	2	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2478	2186.0	440367	1	1.0	1.0383	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_CHLAMYDIA_OTHER.FINEMAP.snp.bgz
AB1_DERMATOPHYTOSIS	FinnGen_AB1_DERMATOPHYTOSIS_3	3	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	4510	3921.0	443609	4	4.0	1.0273	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_DERMATOPHYTOSIS.FINEMAP.snp.bgz
AB1_EBV	FinnGen_AB1_EBV_4	4	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3439	2979.0	441039	2	1.0	1.0328	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_EBV.FINEMAP.snp.bgz
AB1_ERYSIPELAS	FinnGen_AB1_ERYSIPELAS_5	5	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	24825	22261.0	399149	9	6.0	1.0846	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_ERYSIPELAS.FINEMAP.snp.bgz
AB1_GASTROENTERITIS_NOS	FinnGen_AB1_GASTROENTERITIS_NOS_6	6	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	35960	32210.0	403431	5	3.0	1.0656	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_GASTROENTERITIS_NOS.FINEMAP.snp.bgz
AB1_HERPES_SIMPLEX	FinnGen_AB1_HERPES_SIMPLEX_7	7	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4159	3723.0	435872	1	1.0	1.0287	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_HERPES_SIMPLEX.FINEMAP.snp.bgz
AB1_HIV_NOS	FinnGen_AB1_HIV_NOS_8	8	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	265	252.0	453198	1	0.0	0.75005	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_HIV_NOS.FINEMAP.snp.bgz
AB1_INTESTINAL_INFECTIONS	FinnGen_AB1_INTESTINAL_INFECTIONS_9	9	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	50302	44967.0	403431	5	5.0	1.0715	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_INTESTINAL_INFECTIONS.FINEMAP.snp.bgz
AB1_LYME	FinnGen_AB1_LYME_10	10	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	2659	2357.0	451074	2	1.0	1.0215	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_LYME.FINEMAP.snp.bgz
AB1_MALARIA	FinnGen_AB1_MALARIA_11	11	Malaria	I Certain infectious and parasitic diseases (AB1_)	150	137.0	452938	5	2.0	0.60794	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MALARIA.FINEMAP.snp.bgz
AB1_MEASLES	FinnGen_AB1_MEASLES_12	12	Measles	I Certain infectious and parasitic diseases (AB1_)	395	351.0	435872	1	0.0	0.84222	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MEASLES.FINEMAP.snp.bgz
AB1_MYCOSES	FinnGen_AB1_MYCOSES_13	13	Mycoses	I Certain infectious and parasitic diseases (AB1_)	10124	8968.0	443609	1	3.0	1.0353	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MYCOSES.FINEMAP.snp.bgz
AB1_OTHER_BACTERIAL	FinnGen_AB1_OTHER_BACTERIAL_14	14	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	54584	48954.0	399149	7	3.0	1.0634	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_BACTERIAL.FINEMAP.snp.bgz
AB1_OTHER_INFECTIONS	FinnGen_AB1_OTHER_INFECTIONS_15	15	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	2745	2500.0	450988	1	1.0	1.0095	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_INFECTIONS.FINEMAP.snp.bgz
AB1_OTHER_MYCOBAC	FinnGen_AB1_OTHER_MYCOBAC_16	16	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	467	420.0	399149	2	1.0	0.8773	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_MYCOBAC.FINEMAP.snp.bgz
AB1_OTHER_SPIROCHAETAL	FinnGen_AB1_OTHER_SPIROCHAETAL_17	17	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	2810	2492.0	450923	2	2.0	1.0235	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_SPIROCHAETAL.FINEMAP.snp.bgz
AB1_OTHER_VIRAL	FinnGen_AB1_OTHER_VIRAL_18	18	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	12694	11207.0	441039	2	2.0	1.0237	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_OTHER_VIRAL.FINEMAP.snp.bgz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	FinnGen_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_19	19	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	1964	1696.0	451769	1	3.0	1.0196	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.FINEMAP.snp.bgz
AB1_SCABIES	FinnGen_AB1_SCABIES_20	20	Scabies	I Certain infectious and parasitic diseases (AB1_)	1462	1244.0	451769	1	1.0	1.0171	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SCABIES.FINEMAP.snp.bgz
AB1_SEQULAE_INF_NOS	FinnGen_AB1_SEQULAE_INF_NOS_21	21	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2002	1817.0	450833	2	1.0	1.0067	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEQULAE_INF_NOS.FINEMAP.snp.bgz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	FinnGen_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES_22	22	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2900	2645.0	450833	1	1.0	1.0155	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.FINEMAP.snp.bgz
AB1_SEXUAL_TRANSMISSION	FinnGen_AB1_SEXUAL_TRANSMISSION_23	23	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	13366	11984.0	440367	6	5.0	1.0493	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEXUAL_TRANSMISSION.FINEMAP.snp.bgz
AB1_TULARAEMIA	FinnGen_AB1_TULARAEMIA_24	24	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	391	334.0	453163	2	0.0	0.81131	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_TULARAEMIA.FINEMAP.snp.bgz
AB1_VIRAL_INOTHER	FinnGen_AB1_VIRAL_INOTHER_25	25	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	645	577.0	450562	2	3.0	0.94028	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_INOTHER.FINEMAP.snp.bgz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	FinnGen_AB1_VIRAL_OTHER_INTEST_INFECTIONS_26	26	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	9801	8582.0	403431	5	3.0	1.032	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_OTHER_INTEST_INFECTIONS.FINEMAP.snp.bgz
