trait	trait_abbr	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
Height, inverse-rank normalized	HEIGHT_IRN	Quantitative endpoints	323648	292707.0	0	1554	1448.0	1.7939	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_HEIGHT_IRN.FINEMAP.snp.bgz
Weight, inverse-rank normalized	WEIGHT_IRN	Quantitative endpoints	328704	297440.0	0	741	629.0	1.6042	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_WEIGHT_IRN.FINEMAP.snp.bgz
Body-mass index, inverse-rank normalized	BMI_IRN	Quantitative endpoints	321672	290820.0	0	632	539.0	1.556	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_BMI_IRN.FINEMAP.snp.bgz
Hypertension	I9_HYPTENS	IX Diseases of the circulatory system (I9_)	137312	122996.0	316345	360	314.0	1.3519	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_HYPTENS.FINEMAP.snp.bgz
Type 2 diabetes, definitions combined	T2D	Diabetes endpoints	71728	65085.0	369007	315	278.0	1.3501	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_T2D.FINEMAP.snp.bgz
Antihypertensive medication - note that there are other indications	RX_ANTIHYP	Drug purchase endpoints	240395	222561.0	213338	313	265.0	1.3354	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_ANTIHYP.FINEMAP.snp.bgz
Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	KELA_DIAB_INSUL_EXMORE	Diabetes endpoints	68356	62368.0	368997	295	241.0	1.3329	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_KELA_DIAB_INSUL_EXMORE.FINEMAP.snp.bgz
Hypertension, essential	I9_HYPTENSESS	IX Diseases of the circulatory system (I9_)	116714	102864.0	316345	288	250.0	1.3231	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_HYPTENSESS.FINEMAP.snp.bgz
Statin medication	RX_STATIN	IX Diseases of the circulatory system (I9_)	155745	144675.0	297988	266	236.0	1.2878	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_STATIN.FINEMAP.snp.bgz
Hypothyroidism, strict autoimmune	E4_HYTHY_AI_STRICT	IV Endocrine, nutritional and metabolic diseases (E4_)	49055	45321.0	329775	238	217.0	1.2054	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYTHY_AI_STRICT.FINEMAP.snp.bgz
Type 2 diabetes, wide definition	T2D_WIDE	Diabetes endpoints	49101	42593.0	370829	231	186.0	1.2872	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_T2D_WIDE.FINEMAP.snp.bgz
Varicose veins	I9_VARICVE	IX Diseases of the circulatory system (I9_)	34542	31719.0	392860	220	185.0	1.2227	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_VARICVE.FINEMAP.snp.bgz
Autoimmune diseases	AUTOIMMUNE	Diseases marked as autimmune origin	115447	105677.0	338286	188	171.0	1.1898	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AUTOIMMUNE.FINEMAP.snp.bgz
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	IX Diseases of the circulatory system (I9_)	60873	55070.0	392860	181	166.0	1.2112	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_DISVEINLYMPH.FINEMAP.snp.bgz
Disorders of the thyroid gland	E4_THYROID	IV Endocrine, nutritional and metabolic diseases (E4_)	68103	62464.0	385630	167	145.0	1.1679	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYROID.FINEMAP.snp.bgz
Atrial fibrillation and flutter	I9_AF	IX Diseases of the circulatory system (I9_)	55853	50743.0	231952	151	129.0	1.1861	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_AF.FINEMAP.snp.bgz
Coronary revascularization (ANGIO or CABG)	I9_REVASC	IX Diseases of the circulatory system (I9_)	26345	24661.0	378019	142	119.0	1.1885	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_REVASC.FINEMAP.snp.bgz
Leiomyoma of uterus	CD2_BENIGN_LEIOMYOMA_UTERI	II Neoplasms from hospital discharges (CD2_)	37952	34422.0	216666	128	119.0	1.1401	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_BENIGN_LEIOMYOMA_UTERI.FINEMAP.snp.bgz
Malignant neoplasm of prostate (controls excluding all cancers)	C3_PROSTATE_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	17258	15199.0	143624	127	114.0	1.1276	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_PROSTATE_EXALLC.FINEMAP.snp.bgz
Atrial fibrillation and flutter with reimbursement	I9_AF_REIMB	IX Diseases of the circulatory system (I9_)	32849	30786.0	231952	126	110.0	1.1892	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_AF_REIMB.FINEMAP.snp.bgz
Ischaemic heart disease, wide definition	I9_IHD	IX Diseases of the circulatory system (I9_)	75592	69008.0	378141	118	102.0	1.2012	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_IHD.FINEMAP.snp.bgz
Basal cell carcinoma (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23424	20506.0	345118	118	102.0	1.1319	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BASAL_CELL_CARCINOMA_EXALLC.FINEMAP.snp.bgz
Arthrosis	M13_ARTHROSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	90094	80598.0	287796	116	94.0	1.258	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS.FINEMAP.snp.bgz
Basal cell carcinoma, including avohilmo (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23936	21089.0	344784	116	97.0	1.138	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC.FINEMAP.snp.bgz
Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	Cardiometabolic endpoints	221781	201529.0	231952	115	101.0	1.2062	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_FG_CVD.FINEMAP.snp.bgz
Coronary atherosclerosis	I9_CORATHER	IX Diseases of the circulatory system (I9_)	56685	51589.0	378019	114	97.0	1.2065	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_CORATHER.FINEMAP.snp.bgz
Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	X Diseases of the respiratory system (J10_)	52013	48084.0	372627	112	97.0	1.2038	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_ASTHMACOPDKELA.FINEMAP.snp.bgz
Malignant neoplasm of skin (controls excluding all cancers)	C3_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	27435	22271.0	345118	108	91.0	1.1232	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_SKIN_EXALLC.FINEMAP.snp.bgz
Cholelithiasis	K11_CHOLELITH	XI Diseases of the digestive system (K11_)	44582	40191.0	397583	107	97.0	1.1708	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_CHOLELITH.FINEMAP.snp.bgz
Gonarthrosis	M13_ARTHROSIS_KNEE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	54570	48836.0	287796	105	86.0	1.2549	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS_KNEE.FINEMAP.snp.bgz
Other malignant neoplasms of skin (=non-melanoma skin cancer) (controls excluding all cancers)	C3_OTHER_SKIN_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	23503	19077.0	345118	103	92.0	1.1239	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_OTHER_SKIN_EXALLC.FINEMAP.snp.bgz
Artrosis, including avohilmo	M13_ARTHROSIS_INCLAVO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	120242	105552.0	333491	102	77.0	1.2437	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS_INCLAVO.FINEMAP.snp.bgz
