cohort	trait	description	definition	n	n_cases	n_controls
UKBB	AFib	Atrial fibrillation	Phecode 427.2	349512	12975	336537
UKBB	AG	Albumin/Globulin ratio	Albumin (30600) / (Total Protein [30860] - Albumin)	316549	NA	NA
UKBB	Age_at_Menarche	Age at menarche	2714	188645	NA	NA
UKBB	Age_at_Menopause	Age at menopause	3581	109110	NA	NA
UKBB	AID_Combined	Autoimmune disease (Phecode + Self-reported)	Combination of Phecodes (242.1, 244, 250.1, 335, 358.1, 446.4, 555, 557.1, 564.1, 694.1, 695.42, 704.1, 709.2, 709.3, 714.1, 715.2, 717) and non-cancer self-reported illness codes (1154, 1222, 1224, 1225, 1226, 1256, 1260, 1261, 1313, 1372, 1377, 1378, 1381, 1382, 1384, 1437, 1453, 1456, 1461, 1462, 1463, 1464, 1477, 1522, 1661, 1667)	293798	57091	236707
UKBB	Alb	Albumin	30600	317006	NA	NA
UKBB	ALP	Alkaline phosphatase	30610	345247	NA	NA
UKBB	ALT	Alanine aminotransferase	30620	345091	NA	NA
UKBB	Alzheimer_LTFH	Alzheimer disease (LTFH)	Alzheimer LT-FH (see Hujoel et al. bioRxiv, 2019)	360661	NA	NA
UKBB	ApoA	Apolipoprotein A	30630	315139	NA	NA
UKBB	ApoB	Apolipoprotein B	30640	343572	NA	NA
UKBB	AST	Aspartate aminotransferase	30650	343988	NA	NA
UKBB	Asthma	Asthma	Phecode 495	354883	23001	331882
UKBB	Balding_Type4	Balding Type 4	2395 (Pattern 4 as cases vs others)	167000	30876	136124
UKBB	Baso	Basophil count	30160	350726	NA	NA
UKBB	BFP	Body fat percentage	23099	354844	NA	NA
UKBB	Blood_Clot_Lung	Blood clot in the lung	6152	361144	3055	358089
UKBB	BMI	Body mass index	21001	360023	NA	NA
UKBB	BrC	Breast cancer	Phecode 174	343346	11412	331934
UKBB	BW	Body weight	21002	360153	NA	NA
UKBB	Ca	Calcium	30680	316888	NA	NA
UKBB	CAD	Coronary artery disease	Phecode 411	360710	27244	333466
UKBB	Cholelithiasis	Cholelithiasis	Phecode 574.1	358546	12630	345916
UKBB	CRC	Colorectal cancer	Phecode 153	342123	3977	338146
UKBB	CRP	C-reactive protein	30710	344503	NA	NA
UKBB	DBP	Diastolic blood pressure	4079	360865	NA	NA
UKBB	Depression_GP	Seen doctor (GP) for nerves, anxiety, tension or depression	2090	361144	124906	236238
UKBB	DVT	Blood clot in the leg	6152	361144	84610	276534
