trait_abbr	trait_code	index	cohort	trait	description	definition	n	n_cases	n_controls
CRP	UKBB_CRP_1	1	UKBB	CRP	C-reactive protein	30710	344503		
UA	UKBB_UA_2	2	UKBB	UA	Uric acid	30880	344801		
eGFRcys	UKBB_eGFRcys_3	3	UKBB	eGFRcys	Estimated glomerular filtration rate (cystain C)	eGFR based on cystain C (30720) using the CKD-EPI formula	345219		
Hb	UKBB_Hb_4	4	UKBB	Hb	Hemoglobin	30020	351327		
ALP	UKBB_ALP_5	5	UKBB	ALP	Alkaline phosphatase	30610	345247		
eBMD	UKBB_eBMD_6	6	UKBB	eBMD	Estimated heel bone mineral density	Mean of left and right heel bone mineral density (4105, 4124)	326159		
ALT	UKBB_ALT_7	7	UKBB	ALT	Alanine aminotransferase	30620	345091		
TP	UKBB_TP_8	8	UKBB	TP	Total protein	30860	316664		
FEV1FVC	UKBB_FEV1FVC_9	9	UKBB	FEV1FVC	FEV1/FVC ratio	FEV1 (20150) divided by FVC (20151)	272338		
HDLC	UKBB_HDLC_10	10	UKBB	HDLC	High density lipoprotein cholesterol	30760	316875		
GGT	UKBB_GGT_11	11	UKBB	GGT	Gamma-glutamyl transferase	30730	345062		
ApoA	UKBB_ApoA_12	12	UKBB	ApoA	Apolipoprotein A	30630	315139		
AG	UKBB_AG_13	13	UKBB	AG	Albumin/Globulin ratio	Albumin (30600) / (Total Protein [30860] - Albumin)	316549		
Height	UKBB_Height_14	14	UKBB	Height	Adult height	50	360415		
eGFR	UKBB_eGFR_15	15	UKBB	eGFR	Estimated glomerular filtration rate (serum creatinine)	eGFR based on serum creatinine (30700) using the CKD-EPI formula	345067		
BW	UKBB_BW_16	16	UKBB	BW	Body weight	21002	360153		
Ca	UKBB_Ca_17	17	UKBB	Ca	Calcium	30680	316888		
BFP	UKBB_BFP_18	18	UKBB	BFP	Body fat percentage	23099	354844		
DVT	UKBB_DVT_19	19	UKBB	DVT	Blood clot in the leg	6152	361144	84610.0	276534.0
Eosino	UKBB_Eosino_20	20	UKBB	Eosino	Eosinophil count	30150	350726		
SBP	UKBB_SBP_21	21	UKBB	SBP	Systolic blood pressure	4080	360863		
Alb	UKBB_Alb_22	22	UKBB	Alb	Albumin	30600	317006		
PP	UKBB_PP_23	23	UKBB	PP	Pluse pressure	SBP (4080) - DBP (4079)	360863		
