trait_code	trait_abbr	trait	ICD10	type	meta_id	mesh_term	mesh_id	category	sample_size	n_case	n_control	popu	pmid	cohort	author	url	index
FinnGen_AB1_BACTINF_NOS_1	AB1_BACTINF_NOS	Bacterial infection, other or unspecified						I Certain infectious and parasitic diseases (AB1_)	421853.0	22704.0	399149.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_BACTINF_NOS.FINEMAP.snp.bgz	1
FinnGen_AB1_CHLAMYDIA_OTHER_2	AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases						I Certain infectious and parasitic diseases (AB1_)	442845.0	2478.0	440367.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_CHLAMYDIA_OTHER.FINEMAP.snp.bgz	2
FinnGen_AB1_DERMATOPHYTOSIS_3	AB1_DERMATOPHYTOSIS	Dermatophytosis						I Certain infectious and parasitic diseases (AB1_)	448119.0	4510.0	443609.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_DERMATOPHYTOSIS.FINEMAP.snp.bgz	3
FinnGen_AB1_EBV_4	AB1_EBV	Infectious mononucleosis						I Certain infectious and parasitic diseases (AB1_)	444478.0	3439.0	441039.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_EBV.FINEMAP.snp.bgz	4
FinnGen_AB1_ERYSIPELAS_5	AB1_ERYSIPELAS	Erysipelas						I Certain infectious and parasitic diseases (AB1_)	423974.0	24825.0	399149.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_ERYSIPELAS.FINEMAP.snp.bgz	5
FinnGen_AB1_GASTROENTERITIS_NOS_6	AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin						I Certain infectious and parasitic diseases (AB1_)	439391.0	35960.0	403431.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_GASTROENTERITIS_NOS.FINEMAP.snp.bgz	6
FinnGen_AB1_HERPES_SIMPLEX_7	AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections						I Certain infectious and parasitic diseases (AB1_)	440031.0	4159.0	435872.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_HERPES_SIMPLEX.FINEMAP.snp.bgz	7
FinnGen_AB1_HIV_NOS_8	AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease						I Certain infectious and parasitic diseases (AB1_)	453463.0	265.0	453198.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_HIV_NOS.FINEMAP.snp.bgz	8
FinnGen_AB1_INTESTINAL_INFECTIONS_9	AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases						I Certain infectious and parasitic diseases (AB1_)	453733.0	50302.0	403431.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_INTESTINAL_INFECTIONS.FINEMAP.snp.bgz	9
FinnGen_AB1_LYME_10	AB1_LYME	Lyme disease						I Certain infectious and parasitic diseases (AB1_)	453733.0	2659.0	451074.0	EUR		FinnGen	Kurki, M.I. et al	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_LYME.FINEMAP.snp.bgz	10
