motif_name	tf
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	AP1
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	AP2
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	AP2GAMMA
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	AP4
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	AR-HALF
FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	ARE-FOX
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	ARE
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	ARNT
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	ASCL1
Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer	ASCL2
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	ATF1
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	ATF2
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	ATF3
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	ATF4
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	ATF7
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	ATOH1
Atoh7(bHLH)/Retina-Atoh7-CutnRun(GSE156756)/Homer	ATOH7
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	BACH1
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	BACH2
BANP(?)/ESC-Banp-ChIP-Seq(GSE155603)/Homer	BANP
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)/Homer	BAPX1
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer	BARX1
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	BATF
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	BATF3-IRF8
Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer	BCL11A
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer	BCL6
BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer	BHLHA15
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	BHLHE40
bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)/Homer	BHLHE41
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	BMAL
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	BMYB
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	BORIS
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	BRACHYURY
Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	BRN1
Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	BRN2
bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer	BZIP-IRF
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	CDX2
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	CDX4
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBP-AP1
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBP-CEBP
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	CEBP
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CHOP
CHR(?)/Hela-CellCycle-Expression/Homer	CHR
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	CLOCK
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	CMYC-LNCAP
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	CMYC
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)/Homer	COUPTF1
