f_tf_name	f_tf_id	f_family	f_protein	f_entrez_id
ATF1	ENSG00000123268	TF_bZIP	ENSP00000262053.3;	466
SOX3	ENSG00000134595	HMG	ENSP00000359567.2;	6658
SPIB	ENSG00000269404	ETS	ENSP00000391877.2;ENSP00000471921.1;	6689
ZNF620	ENSG00000177842	zf-C2H2	ENSP00000391472.1;ENSP00000322265.6;	253639
ZNF225	ENSG00000256294	zf-C2H2	ENSP00000262894.5;ENSP00000468686.1;	7768
HOXD13	ENSG00000128714	Homeobox	ENSP00000376322.3;	3239
NR1D1	ENSG00000126368	THR-like	ENSP00000246672.3;	9572
FOXJ3	ENSG00000198815	Fork_head	ENSP00000354620.1;ENSP00000361654.1;ENSP00000439044.1;ENSP00000393408.1;ENSP00000354449.1;ENSP00000361653.1;ENSP00000403060.1;	22887
ZBED3	ENSG00000132846	zf-BED	ENSP00000427487.1;ENSP00000255198.2;	84327
BCL6B	ENSG00000161940	ZBTB	ENSP00000293805.5;ENSP00000293805.5;ENSP00000460282.1;ENSP00000445010.2;ENSP00000460071.1;	255877
HAND2	ENSG00000164107	bHLH	ENSP00000427084.1;ENSP00000352565.4;	9464
ZNF576	ENSG00000124444	zf-C2H2	ENSP00000435934.1;ENSP00000375827.2;ENSP00000435463.1;ENSP00000337852.4;ENSP00000436182.1;ENSP00000435899.1;	79177
TBX3	ENSG00000135111	T-box	ENSP00000257567.2;ENSP00000257566.3;	6926
FOXN2	ENSG00000170802	Fork_head	ENSP00000343633.3;ENSP00000388486.1;	3344
BATF3	ENSG00000123685	TF_bZIP	ENSP00000243440.1;	55509
ZNF792	ENSG00000180884	zf-C2H2	ENSP00000385099.1;ENSP00000474130.1;	126375
ZNF717	ENSG00000227124	zf-C2H2	ENSP00000498738.1;ENSP00000419377.1;	100131827
RREB1	ENSG00000124782	zf-C2H2	ENSP00000369265.3;ENSP00000419511.1;ENSP00000305560.10;ENSP00000335574.6;ENSP00000369270.2;ENSP00000420519.1;ENSP00000420299.1;	6239
ZFP57	ENSG00000204644	zf-C2H2	ENSP00000418259.2;ENSP00000366080.2;	346171
GATAD2A	ENSG00000167491	zf-GATA	ENSP00000353463.3;ENSP00000508398.1;ENSP00000351552.3;ENSP00000384899.2;	54815
AFF1	ENSG00000172493	AF-4	ENSP00000305689.6;ENSP00000424881.1;ENSP00000425755.1;ENSP00000378578.4;ENSP00000501252.1;ENSP00000424483.1;ENSP00000427593.1;ENSP00000424766.1;ENSP00000440843.3;	4299
ZSCAN21	ENSG00000166529	zf-C2H2	ENSP00000292450.4;	7589
HOXD8	ENSG00000175879	Homeobox	ENSP00000409026.2;ENSP00000315949.4;ENSP00000406045.1;ENSP00000437431.2;	3234
